Category,Name,Cost,Ability,Weight,Utilize,Craft,Variants
Artisan’s Tools,Alchemist’s Supplies,50 GP,Intelligence,8 lb.,"Identify a substance (DC 15), or start a fire (DC 15)","Acid , Alchemist’s Fire , Component Pouch , Oil , Paper , Perfume",
Artisan’s Tools,Brewer’s Supplies,20 GP,Intelligence,9 lb.,"Detect poisoned drink (DC 15), or identify alcohol (DC 10)",Antitoxin,
Artisan’s Tools,Calligrapher’s Supplies,10 GP,Dexterity,5 lb.,Write text with impressive flourishes that guard against forgery (DC 15),"Ink , Spell Scroll",
Artisan’s Tools,Carpenter’s Tools,8 GP,Strength,6 lb.,Seal or pry open a door or container (DC 20),"Club , Greatclub , Quarterstaff , Barrel , Chest , Ladder , Pole , Portable Ram , Torch",
Artisan’s Tools,Cartographer’s Tools,15 GP,Wisdom,6 lb.,Draft a map of a small area (DC 15),Map,
Artisan’s Tools,Cobbler’s Tools,5 GP,Dexterity,5 lb.,Modify footwear to give Advantage on the wearer’s next Dexterity ( Acrobatics ) check (DC 10),Climber’s Kit,
Artisan’s Tools,Cook’s Utensils,1 GP,Wisdom,8 lb.,"Improve food’s flavor (DC 10), or detect spoiled or poisoned food (DC 15)",Rations,
Artisan’s Tools,Glassblower’s Tools,30 GP,Intelligence,5 lb.,Discern what a glass object held in the past 24 hours (DC 15),"Glass Bottle , Magnifying Glass , Spyglass , Vial",
Artisan’s Tools,Jeweler’s Tools,25 GP,Intelligence,2 lb.,Discern a gem’s value (DC 15),"Arcane Focus , Holy Symbol",
Artisan’s Tools,Leatherworker’s Tools,5 GP,Dexterity,5 lb.,Add a design to a leather item (DC 10),"Sling , Whip , Hide Armor , Leather Armor , Studded Leather Armor , Backpack , Crossbow Bolt Case , Map or Scroll Case , Parchment , Pouch , Quiver , Waterskin",
Artisan’s Tools,Mason’s Tools,10 GP,Strength,8 lb.,Chisel a symbol or hole in stone (DC 10),Block and Tackle,
Artisan’s Tools,Painter’s Supplies,10 GP,Wisdom,5 lb.,Paint a recognizable image of something you’ve seen (DC 10),"Druidic Focus , Holy Symbol",
Artisan’s Tools,Potter’s Tools,10 GP,Intelligence,3 lb.,Discern what a ceramic object held in the past 24 hours (DC 15),"Jug , Lamp",
Artisan’s Tools,Smith’s Tools,20 GP,Strength,8 lb.,Pry open a door or container (DC 20),"Any Melee weapon (except Club, Greatclub, Quarterstaff, and Whip), Medium armor (except Hide), Heavy armor, Ball Bearings , Bucket , Caltrops , Chain , Crowbar , Firearm Bullets , Grappling Hook , Iron Pot , Iron Spikes , Sling Bullets",
Artisan’s Tools,Tinker’s Tools,50 GP,Dexterity,10 lb.,"Assemble a Tiny item composed of scrap, which falls apart in 1 minute (DC 20)","Musket , Pistol , Bell , Bullseye Lantern , Flask , Hooded Lantern , Hunter’s Trap , Lock , Manacles , Mirror , Shovel , Signal Whistle , Tinderbox",
Artisan’s Tools,Weaver’s Tools,1 GP,Dexterity,5 lb.,"Mend a tear in clothing (DC 10), or sew a Tiny design (DC 10)","Padded Armor , Basket , Bedroll , Blanket , Fine Clothes , Net , Robe , Rope , Sack , String , Tent , Traveler's Clothes",
Artisan’s Tools,Woodcarver’s Tools,1 GP,Dexterity,5 lb.,Carve a pattern in wood (DC 10),"Club , Greatclub , Quarterstaff , Ranged weapons (except Pistol, Musket, and Sling), Arcane Focus , Arrows , Bolts , Druidic Focus , Ink Pen , Needles",
Other Tools,Disguise Kit,25 GP,Charisma,3 lb.,Apply makeup (DC 10),Costume,
Other Tools,Forgery Kit,15 GP,Dexterity,5 lb.,"Mimic 10 or fewer words of someone else’s handwriting (DC 15), or duplicate a wax seal (DC 20)",,
Other Tools,Gaming Set,Varies,Wisdom,—,"Discern whether someone is cheating (DC 10), or win the game (DC 20)",,"Dice (1 SP), dragonchess (1 GP), playing cards (5 SP), three-dragon ante (1 GP)"
Other Tools,Herbalism Kit,5 GP,Intelligence,3 lb.,Identify a plant (DC 10),"Antitoxin , Candle , Healer’s Kit , Potion of Healing",
Other Tools,Musical Instrument,Varies,Charisma,Varies,"Play a known tune (DC 10), or improvise a song (DC 15)",,"Bagpipes (30 GP, 6 lb.), drum (6 GP, 3 lb.), dulcimer (25 GP, 10 lb.), flute (2 GP, 1 lb.), horn (3 GP, 2 lb.), lute (35 GP, 2 lb.), lyre (30 GP, 2 lb.), pan flute (12 GP, 2 lb.), shawm (2 GP, 1 lb.), viol (30 GP, 1 lb.)"
Other Tools,Navigator’s Tools,25 GP,Wisdom,2 lb.,"Plot a course (DC 10), or determine position by stargazing (DC 15)",,
Other Tools,Poisoner’s Kit,50 GP,Intelligence,2 lb.,Detect a poisoned object (DC 10),Basic Poison,
Other Tools,Thieves’ Tools,25 GP,Dexterity,1 lb.,"Pick a lock (DC 15), or disarm a trap (DC 15)",,
